customerInput;category
aby wyjaśnić kto anulował moją moje wypowiedzenie umowy;rezygnacje
adaptacji telewizora;dtv
adapter do zamontowania tej karty do telewizora samsung;dtv
adres email nie mam faktury za miesiąc;płatności
adres wysyłają mi po prostu rachunki do zapłaty za usługi telewizyjne;saldo
agnieszka tutaj jest stan salda;saldo
aha;dtv
aha a w awarii dekodera telewizji;dtv
aha ja we wrześniu;dtv
aha na tym halo ja dostałam faktury;płatności
aha proszę panią nie mamy telewizji od rana;dtv
aha zablokował mi się telewizor na erotyce do jest blokada rodzicielska;dtv
aktu jeszcze w sprawie faktury;płatności
aktualizacja dekodera;dtv
aktualizacja dekodera telewizji;dtv
aktualizacja hbo go;hbo
aktualizacja telefonu komórkowego;telefon mobilny
aktualnego rachunku;saldo
aktualny rachunek;saldo
aktualny rachunek jaki abonament mam;saldo
aktywacja dekodera;dtv
aktywacja e-book;umowa
aktywacja hbo;hbo
aktywacja hbo go;hbo
aktywacja internetu stacjonarnego;internet stacjonarny
aktywacja karty tak;dtv
aktywacja mobilnego internetu;internet mobilny
aktywacja produkty;umowa
aktywacja telefonu komórkowego;telefon mobilny
aktywacja tidal;tidal
aktywacja usługi internet stacjonarny;internet stacjonarny
aktywacja usługi voucher netflix;netflix
aktywacja voucher netflix;netflix
aktywacja vouchera nad fix;netflix
aktywacja vouchera netflix;netflix
aktywowałem usługę hbo w piątek nadal nie jest aktywna jest jakiś problem techniczny kiedy zostanie naprawiony;hbo
aktywowałem william o hasło do internetu ponieważ córka zapomniała hasła i nie mogę spierdalaj zaułek na telefonie;internet stacjonarny
aktywowanie usługi wifi;internet stacjonarny
albo ile muszę zapłacić za za za za telefon nie za tele to jest zaraz za tym;saldo
albo jedno albo drugie ja nie wiem jaka kwota ktoś do mnie dzwonił od was przedstawił się z vectry;saldo
albo rachunku saldo rachunku;saldo
albo salda nie dostałam jeszcze ta umowa moimi lutego niemego;saldo
albo telefon albo coś no czyli w domu;telefon stacjonarny
ale brama jest internet stacjonarny;internet stacjonarny
ale co mi błąd pomóż mu wysłać jest błąd w telewizji;dtv
ale dzień dobry ja dzwonię w sprawie uszkodzenia coś z anteną telewizyjną cały czas pisze brak sygnału nie wiem co się dzieje;dtv
ale ja chciałem rachunkami gadać bo jest źle mam połączę wypisanie rachunek za za za za tego za grudzień;płatności
ale ja dzwonię w sprawie rachunków bo nie przychodzi mi rachunek płatniczy;saldo
ale ja już od paru dni nie mam w ogóle obrazu w tym telewizorze wiecznie wiecznie wyłączamy brak sygnału brak sygnału dzień w dzień dzisiaj w ogóle nic nie ma znowu na;dtv
ale jakieś kapie internet stacjonarny model nogę;internet stacjonarny
ale już trzeci raz powtarzam że chcę rozwiązać umowę z vectrą i proszę o rozmowę z odpowiednią osobą i chcę zasięgnąć informacji w tym temacie;rezygnacje
ale komu mam powiedzieć teraz telewizji;dtv
ale nie dostałam druku rachunku;saldo
ale nie komórkowego tylko czy jest vectra czy jest opłacane każdego miesiąca czy po odbieracie mi ten rachunek;telefon mobilny
ale nie ma łączności dekoderem szybko wyświetla a nie ma kanałów kanały się nie wyświetlają;dtv
ale niech pani posłucha w całym bloku nie ma ani programu telewizyjnego ani internetu stacjonarnego;internet stacjonarny
ale o co chodzi właśnie że papierowej i faktury nie dostałem do zapłacenia;płatności
ale o czym ona mówiła o telewizję;dtv
ale pilot na telewizorze on nie chce się po prostu włączyć dekoder się nie chcę włączyć no i to wszystko no;dtv
ale pilot nie działa w ogóle do dekodera z robotem gadasz o wyglądzie telewizja telewizja chodzi o telewizję;dtv
ale proszę panią ja należy do ekipy już od dwudziestu lat teraz mam obraz ale nie mam głosu;dtv
ale proszę proszę mnie zrozumieć że ja dzwonię o awarii telewizora nie gra telewizor;dtv
ale proszę tylko przekazać dziękuję za usługę umówioną na poniedziałek na jutro na;dtv
ale tej faktury proszę panią ja nie dostałem ani na maila ani papierowej a ja bym chciał zapłacić za usługę;płatności
ale to dotyczy stacjonarnego takiego światłowodu;internet stacjonarny
ale to jest internet stacjonarny;internet stacjonarny
ale to już kurwa stało od dwóch dni a on jest telewizor tu chyba od tygodnia;dtv
ale to już minęło już jest który dzisiaj już minęło jest po tym po fakcie przejrzysz powinien być ten rachunek jeszcze nie przeszczepić nie było w skrzynce;saldo
ale w ogóle nie działał telewizor tylko był jakiś komunikat że wszystkie telewizje coś tam nie pamiętam wie pani i;dtv
ale zaraz chce rozmawiać na temat przeniesienia usług;przeniesienie usług
ale zatrzymany jest polsat nie nie działa no te błędy może faktycznie na razie ale polsatu nie mam;polsat
ależ oczywiście właśnie w tej sprawie dzwonię;dtv
alicja krause proszę sprawdzić zaległości w opłatach;windykacja
ameriga wszystko telewizor się zepsuje będziecie mi odszkodowanie płacić i na leki na nerwicę;dtv
analizować prawda połączenia to mam się połączyć z wifi ja tego nie rozumiem ja jestem prawdę starszą kobietą czy w ogóle jakieś mam bp tutaj gdzie ja mieszkam czy nie;internet stacjonarny
analogowej ani cyfrowej telewizji;dtv
andrzeja żadnego dekodera nie wymieniałam i proszę to przeanalizować i sprawdzić;dtv
ani domowego ani komórkowego;telefon stacjonarny
ani komórkowego ani domowego chodzi o vectra po prostu umowa na telewizję;telefon mobiny
ani nie komórkowego ani nie tylko dotyczy telewizora;telefon mobilny
ani nikogo kto tam mieszka dawno już jest to wymeldowane to dlaczego cały czas przysyłacie rachunki jak to już nie istnieje;saldo
ani pilot;dtv
ani sprzętu chodzi o program polsatu;polsat
ani stacjonarnego ani wifi;internet stacjonarny
ani telefonu domowego ani telefonu komórkowego;telefon stacjonarny
ani telewizji;dtv
ani zadłużenia ja bym chciała mieć;windykacja
antenowego nie mam w ogóle telewizji;dtv
anulować wypowiedzenia umowy;rezygnacje
anulowane a no 100 wydzwania windykacja nie wiem o co chodzi;windykacja
anulowanie odstąpienie od umowy;odstąpienie
anulowanie płatności;saldo
anulowanie przeniesienia numerów;przeniesienie usług
anulowanie przeniesienia numeru z innej sieci;przeniesienie usług
anulowanie rezygnacji;rezygnacje
anulowanie wypowiedzenia;rezygnacje
aparat telewizyjny ale natychmiast telewizyjny wyłącza się czerwone światełko wyskakuje i nie mam żadnego odbioru dekoder podobno mu się należał w grudniu ubiegłego roku;dtv
aplikacja tidal;tidal
aplikacji i telewizji;dtv
aplikacji smart go;smart tv
aplikacji tidal;tidal
arnego internetu stacjonarnego;internet stacjonarny
automat do mnie mówi saldo automat nagrany głos do mnie mówi nie żywa osoba;saldo
automat salda i wzrostu opłat;saldo
ava awaria wtyczki wchodzącej do dekoderu;dtv
awaria awaria a dalej ich nie ma już drugi dzień nie ma nie ma telewizji;dtv
awaria awaria odbioru telewizora telefonu generalnie usług vectry;dtv
awaria awaria telefonu domowego;telefon stacjonarny
awaria awaria telewizji satelitarnej internetu kablowej telewizji kablowej;dtv
awaria brak telewizji kablowej;dtv
awaria chyba od trzech dni zakłócenia są i nie można oglądać telewizji;dtv
awaria coś nie działa telewizor;dtv
awaria dekodera;dtv
awaria dekodera brak sygnału;dtv
awaria dekodera i ka i internetu stacjonarnego;internet stacjonarny
awaria dekodera jest błąd karty telewizor nie działa;dtv
awaria dekodera nie ogląda się nigdzie nie przekazuje sygnałów dekodera do telewizora;dtv
awaria dekodera przepraszam;dtv
awaria dekodera przy telewizji;dtv
awaria dekodera telewizji;dtv
awaria dekodera vectrze;dtv
awaria dotyczy dotyczy awarii drugi dzień nie ma telewizji i internetu knurów ulica armii krajowej;dtv
awaria dotyczy internetu stacjonarnego;internet stacjonarny
awaria dotyczy telewizji;dtv
awaria i nie działa telewizor internet;dtv
awaria internet domowy;internet stacjonarny
awaria internet stacjonarny;internet stacjonarny
awaria internetu domowego;internet stacjonarny
awaria internetu domowego i telewizji;internet stacjonarny
awaria internetu stacjonarnego;internet stacjonarny
awaria internetu stacjonarnego i telewizji;internet stacjonarny
awaria internetu stacjonarnego reklamacja;internet stacjonarny
awaria internetu stacjonarnego router;internet stacjonarny
awaria internetu stacjonarnego w domu;internet stacjonarny
awaria internetu telefon komórkowy;internet mobilny
awaria internetu telewizji telefonii stacjonarnej;internet stacjonarny
awaria jak awaria telewizji;dtv
awaria jakaś jest nie ma telewizji i internetu;dtv
awaria jest dekodera nie mogę się dodzwonić nie mogę po prostu uruchomić telewizora;dtv
awaria jest mnie nie mogę oglądać telewizji;dtv
awaria jest nie ma nie ma odbioru telewizji się dowiedzieć dlaczego;dtv
awaria karty w dekoderze;dtv
awaria komputera dekodera;dtv
awaria komputera i telewizji;dtv
awaria na żużlowej brak telewizji programu telewizyjnego nie działa telewizja;dtv
awaria nie działa dekoder;dtv
awaria nie ma ani telewizji ani internetu;dtv
awaria nie ma odbioru telewizora;dtv
awaria nie mam ani telewizji ani internetu;dtv
awaria nie mam telewizji nie mam telefonu;dtv
awaria nie mamy telewizji internetu;dtv
awaria pilota nie działa pilot od dekodera internetowego;dtv
awaria pilota telewizji;dtv
awaria prawdopodobnie dekodera wszystko;dtv
awaria prądu awaria w goleniowie jest kiedy będziemy mieć telewizję;dtv
awaria słupsk szafranka 14 1 brak telewizji internetu;dtv
awaria sygnału w telefonie stacjonarnym;telefon stacjonarny
awaria systemu telewizor i internet;dtv
awaria techniczna dekodera;dtv
awaria techniczna telewizji;dtv
awaria techniczna telewizji internetu;dtv
awaria tele nie ma telewizji i telefonu;dtv
awaria telefonu domowego;telefon stacjonarny
awaria telefonu domowego internetu;telefon stacjonarny
awaria telefonu stacjonarnego;telefon stacjonarny
awaria telewizji;dtv
awaria telewizji brak głosu dekoder jest popsuty chyba;dtv
awaria telewizji i;dtv
awaria telewizji i internetu;dtv
awaria telewizji i internetu bydgoszcz kanałowa;dtv
awaria telewizji i w związku z tym internetu;dtv
awaria telewizji internetu;dtv
awaria telewizji internetu domowego;internet stacjonarny
awaria telewizji internetu skarżysku;dtv
awaria telewizji kablowej;dtv
awaria telewizji kablowej internetu elbląg;dtv
awaria telewizji karty do dekoderu;dtv
awaria telewizji malowaniu;dtv
awaria telewizji nie ma nic telewizji błąd;dtv
awaria telewizji nie ma nie ma telewizji nie ma telefonu;dtv
awaria telewizji nie ma vectry w ogóle;dtv
awaria telewizji od dwudziestego ósmego wierchami obrazu;dtv
awaria telewizji od godziny dwunastej w południe do teraz;dtv
awaria telewizji olsztyn borkowskiego 29;dtv
awaria telewizji piła łączna 27 3 błąd błąd o;dtv
awaria telewizji telewizji internetu;dtv
awaria telewizji ustka;dtv
awaria telewizji zaczyna się;dtv
awaria telewizora;dtv
awaria telewizora awaria dekodera;dtv
awaria telewizora i internetu;dtv
awaria telewizora jest nie mam programu;dtv
awaria telewizora nie ma w ogóle programów;dtv
awaria telewizora problem z kartą;dtv
awaria telewizora przekazu telewizyjnego;dtv
awaria urządzenia dekodera;dtv
awaria vectry nie odbiera telewizor już drugi dzień;dtv
awaria vectry telewizji;dtv
awaria w raciborzu dlaczego nie ma telewizji;dtv
awaria w router wifi;internet stacjonarny
awaria w telewizji nie ma sygnału;dtv
awarie chciałem zgłosić telewizora sieci względem odbioru programów telewizyjnych;dtv
awarie mam nie mam gór nie mam głosu w telewizorze;dtv
awarii awarii telewizji;dtv
awarii brak dostępu;dtv
awarii brak sygnału;dtv
awarii dekodera;dtv
awarii internetu stacjonarnego;internet stacjonarny
awarii nie gra telewizor od rana u męża gra a u mnie nie;dtv
awarii rachunku numeru konta;saldo
awarii technicznej chodzi mi o to że mam dekoder z nagrywarką i ta ten dekoder po prostu nie nagrywa mi linię odtwarza jakiś;dtv
awarii telewizję i awarii internetu;dtv
awarii telewizji i internetu;dtv
awarii telewizji i internetu stacjonarnego;internet stacjonarny
awarii telewizora w sprawie awarii telewizora dzwonię od rana nie mogę żadnego programu włączyć;dtv
awarii w mojej telewizji;dtv
babie rachunku;saldo
babo chcę zrezygnować z umowy chcę zrezygnować z umowy;rezygnacje
badanie na gowida i w związku z tym chciałabym przełożyć termin;zmiana terminu wizyty
bankowość internetowa chodzi o bankowość internetową mam konto zablokowane i chodzi mi o to żeby odblokować;windykacja
bardziej hb o go jak zarejestrować się;hbo
bardziej płatności;saldo
bardzo bardzo proszę z jakimś wszystkich z kimś z pionu technicznego;dtv
bardzo blokuje mi dekoder nie mogę włączyć ani wyłączyć;dtv
bardzo bym chciała żeby to w końcu załatwić proszę panią;dtv
bardzo bym prosiła o połączenie z działem płatności;saldo
bardzo bym prosiła sprawdzić telewizor przyjechał do mnie sprawdzić kopernika 10 przez 91 będę szklistym;dtv
bardzo chcę;dtv
bardzo chętnie chcę porozmawiać;dtv
bardzo często zrywa połączenie;telefon stacjonarny
bardzo proszę;dtv
bardzo proszę chcę się dowiedzieć dlaczego telewizja nie działa;dtv
bardzo proszę chciałabym przenieść vectrę zmieniła miejsce zamieszkania i chciałabym w inne miejsce przenieść;przeniesienie usług
bardzo proszę dzwonię ze słupska w sprawie telewizora w programu nie mamy znowuż problemu co się dzieje nie bardzo często nie mamy programu;dtv
bardzo proszę o kontakt z wirtualnym tym bo mi się telewizor coś tam popsuł;dtv
bardzo proszę o o przerejestrowanie mi ponieważ mi nie działa w telewizji nie działa mi internet czy sprawa techniczna;dtv
bardzo proszę o połączenie z osobą która wystawia faktury;płatności
bardzo proszę o przekierowanie do konsultanta chodzi mi o mój rachunek;saldo
bardzo proszę o sprawach rachunków i interwencja w sprawie dekodera prowadziła to pani magdalena kucharczyk u kucharz jakoś tak bór;saldo
bardzo proszę o sprawdzenie wysłania faktury na mojego maila za miesiąc styczeń;płatności
bardzo proszę o wpłaty żeby miała książeczki i żebym co miesiąc mogła opłacać rachunek nowy bo zmieniłam pakiet;saldo
bardzo proszę o wymianę dekoderów podłączenie ich;dtv
bardzo proszę przysłać fakturę za radio za telewizor i telefon dzwonię do was już drugi raz za ostatni miesiąc bardzo proszę;płatności
bardzo proszę saldo;saldo
bardzo słabo działa mi telewizja;dtv
bardzo wolno działa internet są duże problemy z internetem;internet stacjonarny
bardzo wolny internet stacjonarny;internet stacjonarny
bawię adres zmiany adresu;przeniesienie usług
bawię rezygnacji z usług;rezygnacje
bema przeniesienia na magnaty na pakiet platynowy;przeniesienie usług
benq w telewizji no w ogóle nie ma nie ma nie ma i szyby jak głośności;dtv
bez telewizora także bardzo proszę żeby ktoś przyjechał i to naprawił to nie wiem co to dziękuję i przepraszam za ten ale po prostu no bez telewizora to wiadomo człowiek musi żyć jakoś dziękuję;dtv
bezpiecznego internetu;bezpieczny internet
bezpiecznej komórki;telefon mobiny
bezpieczny internet;bezpieczny internet
bezpieczny internet vectra;bezpieczny internet
bezprzewodowy czas dostępności świadczenia usług;internet stacjonarny
będę gadał internet stacjonarny;internet stacjonarny
będę musiała płacić ale rzadko z niego korzystam po prostu chcę mieć pewność że on zostanie odłączonej nie będę miała żadnej dodatkowej opłaty;saldo
będę w telewizji programu nie tylko;dtv
będzie brzmiał mój rachunek w następnych miesiącach;saldo
będzie docierał do mojego telewizora formie niezmienionej;dtv
będzie suma do zapłacenia;saldo
będzie telewizja kablowa internet;dtv
będziecie wysyłali druki do zapłaty usług;saldo
biała telewizor nie działa mi;dtv
bierna dekodera;dtv
bieżące faktury do zapłacenia;płatności
bieżący stan rachunku;saldo
biling do faktury;płatności
biling z telefonu komórkowego;telefon mobilny
blankiet do zapłaty;płatności
blankietów do zapłaty;saldo
blankietów opłat za oglądanie telewizji;płatności
blankiety na opłaty;płatności
blankiety normalne pisemne do płacenia przysłane dumnie na adres;płatności
blankiety potrzebuję na na opłaty;płatności
blankiety rachunki;płatności
blankiety w płot;płatności
blankiety wpłat;płatności
blokada;windykacja
blokada kanałów;windykacja
blokada konta;windykacja
blokada numeru;windykacja
blokada połączenia programów vectry;windykacja
blokada programów niedozwolonych dla dzieci wprowadź c a pin aby odblokować nie znam tego pinu;dtv
blokada rachunku;windykacja
blokada telefonu;windykacja
blokada telewizji;dtv
blokada usług;windykacja
blokadę usług nastąpiła blokada usług;windykacja
błąd 0;dtv
błąd 0 dekoder wyświetla;dtv
błąd 0 proszę o pomoc na dekoderze;dtv
błąd 0 przedtem było 13 8;dtv
błąd 0 sprawy techniczne;dtv
błąd dekodera;dtv
błąd dekodera 0;dtv
błąd dekodera komunikat w telewizji na telewizorze błąd o podłączenie jest prawidłowy;dtv
błąd dekodera nie działa;dtv
błąd dekodera nie mam telewizji;dtv
błąd dekodera telewizji;dtv
błąd e 0;dtv
błąd e 0 na telewizorze;dtv
błąd formatu mój pisze i telewizor mi nie działa;dtv
błąd karty;dtv
błąd karty błądki;dtv
błąd karty i aktualizacji;dtv
błąd kwoty faktury;płatności
błąd na ekranie telewizora;dtv
błąd na fakturze;płatności
błąd na telewizorze 0 nie ma obrazu;dtv
błąd o;dtv
błąd o ponieważ mam 2 dekodery występuje ten sam napis na dwóch telewizora;dtv
błąd o proszę sprawdzić czy dekoder jest prawidłowo podłączony;dtv
błąd płatności;saldo
błąd przy fakturze mam naliczone za netflix anetki kiedyś przez pół roku za darmo;płatności
błąd w dekoderze;dtv
błąd w fakturze;płatności
błąd w rachunku;saldo
błąd w rachunku umowie;saldo
błędne kwota na fakturze;płatności
błędne ognie sprawach techniki nie dotyczy komórki zostałem rozłączony konsultant zniknął po prostu chodzi o informacje nie zareagował;telefon mobiny
błędnego naliczanie opłat;płatności
błędnie działający router;internet stacjonarny
błędnie naliczone faktura;płatności
błędnie wystawionej faktury;płatności
błędny adres odbiorcy na fakturze;płatności
błędów dekoderze;dtv
błędy na fakturze;płatności
błędy w fakturze;płatności
błocie mi jaki jest hasło do wifi 1 6 potrzebujemy hasło do naszego wifi;internet stacjonarny
błotnego po prostu chcę zrezygnować z tej pomocy zdrowotnej;rezygnacje
bo chcę porozmawiać;dtv
bo chciałbym się dowiedzieć czemu nie ma telewizji;dtv
